internship_id,institution_id,domain,organization_name,duration_weeks,stipend_amount,mode,is_ppo_linked,program_source
INT_00039,INST_0205,Railway Operations,Railway Board,9,0.00,online,False,General
INT_00040,INST_0184,Predictive Maintenance,Parle Products,8,0.00,hybrid,False,General
INT_00041,INST_0434,Computational Chemistry,Dunzo,8,13507.00,offline,False,CDAC
INT_00042,INST_0115,MLOps,Big Bazaar (Future),6,8836.00,offline,False,General
INT_00043,INST_0415,Executive Search,Dell Technologies,9,13332.00,online,False,CDAC
INT_00044,INST_0165,Data Profiling,upGrad,6,3541.00,offline,False,Indian Army
INT_00045,INST_0056,Passwordless,Ather Energy,8,0.00,offline,False,General
INT_00046,INST_0073,Reverse Engineering,Cognizant,6,7767.00,offline,False,CDAC
INT_00047,INST_0077,Sanctions Screening,Adidas India,9,8304.00,offline,False,CDAC
INT_00048,INST_0366,Reinforcement Learning,NTPC,9,11244.00,online,False,Indian Army
INT_00049,INST_0092,Microbiology,Cognizant,7,8051.00,online,False,General
INT_00050,INST_0364,Supply Chain Security,Amazon India,6,9567.00,offline,False,TULIP
INT_00051,INST_0243,Elder Care Technology,MakeMyTrip,8,13964.00,offline,False,General
INT_00052,INST_0429,Compiler Design,Royal Enfield,6,14971.00,online,False,General
INT_00053,INST_0216,Hydrology,Fabindia,9,0.00,hybrid,True,General
INT_00054,INST_0177,Social Work,Oyo,6,12437.00,offline,False,TULIP
INT_00055,INST_0245,Soft Robotics,Mahindra & Mahindra,8,0.00,online,True,General
INT_00056,INST_0334,ASR,Voltas,9,0.00,online,False,General
INT_00057,INST_0039,Geofencing,State Bank of India,6,8875.00,offline,False,General
INT_00058,INST_0068,Fuel Cells,Infosys,9,7711.00,online,False,TULIP
INT_00059,INST_0006,Remote Patient Monitoring,Fabindia,9,6325.00,offline,True,General
INT_00060,INST_0219,Particle Physics,Wipro,6,0.00,offline,False,General
INT_00061,INST_0019,Sports Analytics,Practo,7,9755.00,hybrid,True,General
INT_00062,INST_0105,Strategy Consulting,ITC Limited,6,0.00,online,False,General
INT_00063,INST_0227,Optimization Modelling,Voltas,9,0.00,offline,True,General
INT_00064,INST_0105,Skill Development,IBM India,9,11921.00,hybrid,True,General
INT_00065,INST_0313,Content Moderation,Hyundai India,9,11056.00,online,False,General
INT_00066,INST_0184,GIS Mapping,Emami,7,0.00,online,False,General
INT_00067,INST_0026,Risk Management,Bata India,6,9977.00,offline,False,General
INT_00068,INST_0330,Differential Privacy,HP India,7,0.00,online,False,General
INT_00069,INST_0081,SD-WAN,ReNew Power,9,6258.00,offline,True,General
INT_00070,INST_0416,Prompt Engineering,Trent (Westside),8,8202.00,online,True,General
INT_00071,INST_0440,Aero-engines,Indian Oil,9,6859.00,online,False,General
INT_00072,INST_0358,Executive Search,Ultratech Cement,9,10276.00,online,False,General
INT_00073,INST_0215,Solar Energy,Hindustan Aeronautics,6,0.00,online,False,General
INT_00074,INST_0310,Autonomous Driving,GAIL India,8,10384.00,offline,False,General
INT_00075,INST_0090,Game Development,ISRO,6,7858.00,online,False,General
INT_00076,INST_0345,Sharding,NTPC,7,4293.00,offline,False,General
INT_00077,INST_0395,Perovskite Solar Cells,IRCTC,6,10802.00,online,False,General
INT_00078,INST_0250,Metro Operations,Reliance Industries,6,0.00,online,False,General
INT_00079,INST_0301,Feature Flags,Ola Electric,9,6421.00,offline,False,General
INT_00080,INST_0265,Food Safety Standards,Adobe India,9,0.00,online,False,General
INT_00081,INST_0261,Autonomous Vehicles,Power Grid Corporation,8,5364.00,offline,False,General
INT_00082,INST_0318,OAuth,Paytm,6,6437.00,online,False,General
INT_00083,INST_0235,Road Safety,Stripe India,9,14324.00,offline,False,General
INT_00084,INST_0205,Exactly-once,Cisco India,9,0.00,offline,False,General
INT_00085,INST_0078,Location Intelligence,Marico,7,10624.00,offline,True,General
INT_00086,INST_0416,Experimental Design,Crompton,8,11981.00,hybrid,False,General
INT_00087,INST_0247,Point-of-care Diagnostics,Swiggy,9,0.00,offline,False,Indian Army
INT_00088,INST_0280,Humanitarian Logistics,AICTE Internship Cell,8,0.00,online,False,General
INT_00089,INST_0027,Industrial Automation,Godrej Industries,9,8719.00,offline,False,General
INT_00090,INST_0011,Advertising,ServiceNow India,6,0.00,hybrid,True,General
INT_00091,INST_0035,ESG Investing,Nykaa,7,0.00,online,False,General
INT_00092,INST_0364,Fraud Scoring,Kotak Mahindra Bank,6,13484.00,online,False,General
INT_00093,INST_0333,Foundation Models,Reliance Industries,7,0.00,online,False,General
INT_00094,INST_0054,Mechanical Design,Twitter/X India,7,6612.00,hybrid,False,General
INT_00095,INST_0071,Diversity and Inclusion,FedEx India,6,0.00,hybrid,False,General
INT_00096,INST_0102,Microfluidics,Voltas,7,0.00,hybrid,False,General
INT_00097,INST_0412,Location Intelligence,Shoppers Stop,6,5169.00,offline,False,General
INT_00098,INST_0308,Dead Letter Queue,Reliance Jio,8,3486.00,offline,False,General
INT_00099,INST_0012,Public Sector Consulting,Britannia,6,11012.00,hybrid,True,General
INT_00100,INST_0125,Robotics,LTIMindtree,9,9548.00,offline,True,General
INT_00101,INST_0349,Biosensors,RedBus,9,0.00,offline,False,General
INT_00102,INST_0398,Highway Engineering,Tata Power,6,13672.00,offline,False,General
INT_00103,INST_0060,Imaging AI,Practo,6,13448.00,online,False,General
INT_00104,INST_0112,Event-driven Architecture,Delhivery,8,10102.00,offline,False,General
INT_00105,INST_0167,Performance Management,Tata Motors,9,0.00,online,False,General
INT_00106,INST_0241,KYC Operations,Tata Power,9,0.00,offline,False,CDAC
INT_00107,INST_0455,Railway Signalling,Marico,9,11049.00,offline,False,General
INT_00108,INST_0194,Impact Assessment,upGrad,8,0.00,online,False,General
INT_00109,INST_0050,Green Procurement,FedEx India,6,0.00,offline,False,General
INT_00110,INST_0180,Columnar Storage,Spotify India,7,6399.00,offline,False,General
INT_00111,INST_0405,Conversational AI,Levi's India,9,9627.00,hybrid,False,General
INT_00112,INST_0033,Audit and Compliance,Emami,8,3253.00,offline,False,General
INT_00113,INST_0190,Key Management,Kotak Mahindra Bank,6,10489.00,online,False,General
INT_00114,INST_0147,Supplier Diversity,UNICEF India,6,6351.00,online,False,General
INT_00115,INST_0026,Sustainable Finance,ITC Limited,8,0.00,offline,False,General
INT_00116,INST_0298,Contrastive Learning,FedEx India,6,9498.00,hybrid,False,General
INT_00117,INST_0202,Marine Biology,Siemens India,6,0.00,hybrid,False,General
INT_00118,INST_0072,Circuit Breaker,Practo,8,11511.00,offline,False,Indian Army
INT_00119,INST_0154,Secure Boot,upGrad,7,5003.00,online,False,General
INT_00120,INST_0380,Planetary Science,ReNew Power,7,8655.00,offline,False,General
INT_00121,INST_0268,Interior Design,Railway Board,6,0.00,offline,False,General
INT_00122,INST_0434,Developer Relations,Vedanta,6,0.00,offline,False,General
INT_00123,INST_0170,Logistics,Kotak Mahindra Bank,8,0.00,offline,False,General
INT_00124,INST_0246,Agriculture Technology,AICTE Internship Cell,7,5437.00,hybrid,False,General
INT_00125,INST_0009,Point-of-care Diagnostics,Tech Mahindra,6,7792.00,offline,False,General
INT_00126,INST_0265,Bot Detection,Myntra,9,12030.00,hybrid,False,General
INT_00127,INST_0287,DevOps,MakeMyTrip,7,13669.00,offline,False,TULIP
INT_00128,INST_0126,Raft,GAIL India,6,7598.00,hybrid,False,General
INT_00129,INST_0048,Full-Stack Development,Shoppers Stop,9,7106.00,offline,False,General
INT_00130,INST_0334,Bioelectronics,Myntra,6,0.00,online,False,General
INT_00131,INST_0276,Mining Engineering,Blinkit,8,4556.00,offline,False,General
INT_00132,INST_0047,Quality Assurance,Zara India,7,0.00,hybrid,True,General
INT_00133,INST_0077,Dairy Technology,Indian Army (Technical),6,12975.00,online,False,General
INT_00134,INST_0313,Attack Surface Management,ServiceNow India,7,12810.00,offline,True,General
INT_00135,INST_0061,Geology,Suzlon,6,0.00,offline,False,General
INT_00136,INST_0087,Database Administration,Razorpay,9,8147.00,offline,False,General
INT_00137,INST_0024,Forensic Psychology,Wipro,6,12066.00,offline,False,General
INT_00138,INST_0232,Data Engineering,Hindustan Aeronautics,8,3565.00,hybrid,False,General
INT_00139,INST_0015,Business Continuity,Meesho,7,0.00,offline,False,General
INT_00140,INST_0213,Triage,Adani Group,6,0.00,hybrid,False,General
INT_00141,INST_0440,Microbiology,NTPC,8,0.00,offline,False,General
INT_00142,INST_0108,Confidential Computing,Zara India,8,12816.00,offline,False,CDAC
INT_00143,INST_0410,Pub/Sub,Mahindra & Mahindra,6,14081.00,online,False,TULIP
INT_00144,INST_0321,Drone Technology,Trent (Westside),7,13168.00,online,False,General
INT_00145,INST_0084,Cubesat Development,Blue Dart,6,0.00,offline,False,General
INT_00146,INST_0370,Vehicle Telematics,Honeywell India,9,10512.00,online,False,General
INT_00147,INST_0280,Knowledge Management,Twitter/X India,8,11824.00,online,False,CDAC
INT_00148,INST_0351,Blockchain Development,Marico,8,12802.00,offline,False,General
INT_00149,INST_0318,Smart Metering,Honeywell India,9,0.00,hybrid,False,General
INT_00150,INST_0421,Identity Verification,Swiggy,8,0.00,online,True,General
INT_00151,INST_0241,Composites,Amul,8,0.00,online,False,CDAC
INT_00152,INST_0092,Resilience Testing,JSW Steel,9,10041.00,offline,False,General
INT_00153,INST_0156,Humanoid Robotics,Godrej Industries,9,6182.00,hybrid,False,TULIP
INT_00154,INST_0208,Disk Forensics,Rapido,7,3642.00,offline,False,General
INT_00155,INST_0447,Low-code Development,Dell Technologies,8,0.00,offline,False,General
INT_00156,INST_0428,ERP Implementation,Unacademy,7,12317.00,offline,True,TULIP
INT_00157,INST_0220,Explainable AI,Porter,8,12312.00,offline,False,General
INT_00158,INST_0378,Banking Operations,Ola,6,3120.00,hybrid,False,General
INT_00159,INST_0273,Corporate Governance,Capgemini,8,14430.00,hybrid,True,General
INT_00160,INST_0136,Implant Design,Vedantu,8,0.00,offline,False,General
INT_00161,INST_0004,Interior Design,H&M India,7,0.00,online,True,TULIP
INT_00162,INST_0367,Cryo-EM,Treebo,6,3579.00,online,False,TULIP
INT_00163,INST_0454,Poultry Science,Crompton,6,5523.00,hybrid,False,General
INT_00164,INST_0026,Key Management,IRCTC,7,4000.00,online,False,General
INT_00165,INST_0124,Corporate Governance,MakeMyTrip,9,10938.00,hybrid,True,General
INT_00166,INST_0159,Aircraft Maintenance,Dunzo,8,13369.00,online,False,General
INT_00167,INST_0045,Bot Detection,Adani Green Energy,9,5639.00,offline,True,General
INT_00168,INST_0232,Algorithmic Trading,Adobe India,9,7492.00,hybrid,False,General
INT_00169,INST_0158,Go-live Support,Bharti Airtel,8,0.00,offline,False,CDAC
INT_00170,INST_0250,Route Optimization,GAIL India,7,6267.00,online,False,General
INT_00171,INST_0063,Humanitarian Logistics,Bajaj Electricals,9,0.00,online,False,General
INT_00172,INST_0188,Intellectual Property,TULIP Portal Partner,6,0.00,online,False,General
INT_00173,INST_0386,Crisis Management,Ashok Leyland,8,10624.00,offline,False,General
INT_00174,INST_0225,Particle Physics,Unacademy,7,11466.00,online,False,General
INT_00175,INST_0248,Formal Verification,Delhivery,7,8989.00,offline,False,TULIP
INT_00176,INST_0431,Message Broker,Tata Power,6,0.00,online,False,General
INT_00177,INST_0130,Data Profiling,Emami,7,7874.00,online,True,CDAC
INT_00178,INST_0322,Industrial Automation,Tata Power,9,13845.00,hybrid,False,General
INT_00179,INST_0016,Disaster Response,PhonePe,9,14661.00,offline,False,Indian Army
INT_00180,INST_0056,Federated Learning,Puma India,9,0.00,hybrid,False,General
INT_00181,INST_0012,Influencer Marketing,HP India,6,6864.00,offline,True,Indian Army
INT_00182,INST_0238,Regulatory Technology,ISRO,8,14295.00,offline,False,General
INT_00183,INST_0278,Caching,ABB India,7,8166.00,hybrid,True,General
INT_00184,INST_0067,Data Privacy,Trent (Westside),7,6811.00,hybrid,True,General
INT_00185,INST_0011,Blockchain Development,Netflix India,9,12263.00,hybrid,False,General
INT_00186,INST_0170,Cloud Migration,BigBasket,9,0.00,online,False,General
INT_00187,INST_0119,Semantic Search,Axis Bank,8,0.00,offline,False,General
INT_00188,INST_0082,Climate Finance,Schneider Electric,7,10231.00,online,True,General
INT_00189,INST_0304,Human Rights Due Diligence,Nike India,6,7162.00,offline,False,General
INT_00190,INST_0028,Animation,Indian Army (Technical),8,0.00,offline,False,General
INT_00191,INST_0371,Firewall Rules,World Bank India,6,10173.00,online,False,General
INT_00192,INST_0201,Biodiversity Assessment,MakeMyTrip,7,12300.00,offline,False,General
INT_00193,INST_0252,SOAR,Adidas India,6,0.00,online,False,General
INT_00194,INST_0175,Wearable Health,State Bank of India,6,13150.00,offline,False,General
INT_00195,INST_0115,Electric Vehicles,Big Bazaar (Future),8,14707.00,online,False,TULIP
INT_00196,INST_0368,Food Packaging,Myntra,9,6383.00,offline,False,General
INT_00197,INST_0258,Full-Stack Development,Cisco India,8,0.00,offline,False,General
INT_00198,INST_0042,Highway Engineering,Reliance Retail,9,10040.00,offline,False,General
INT_00199,INST_0063,Telecommunications,Zara India,8,12904.00,offline,False,Indian Army
INT_00200,INST_0159,Schema Migration,Google India,9,9832.00,offline,True,General
INT_00201,INST_0081,Vulnerability Research,DRDO,9,0.00,online,False,General
INT_00202,INST_0144,Econometrics,L&T Energy,8,8900.00,offline,True,Indian Army
INT_00203,INST_0427,Visa Processing,ISRO,8,11528.00,offline,False,General
INT_00204,INST_0107,Wind Energy,Titan Company,9,0.00,offline,False,General
INT_00205,INST_0250,Economics Research,Cure.fit,9,4932.00,online,False,General
INT_00206,INST_0119,Journalism,ACC Cement,6,5237.00,online,False,General
INT_00207,INST_0047,Vulnerability Research,ACC Cement,9,5785.00,hybrid,False,General
INT_00208,INST_0377,Vault,Myntra,8,5769.00,hybrid,True,General
INT_00209,INST_0323,Vulnerability Research,Vedanta,7,6857.00,offline,False,CDAC
INT_00210,INST_0021,Bug Bounty,Shoppers Stop,9,5680.00,offline,False,CDAC
INT_00211,INST_0371,Green Procurement,ICICI Bank,8,3083.00,hybrid,False,CDAC
INT_00212,INST_0290,Service Mesh,Porter,9,11563.00,offline,True,TULIP
INT_00213,INST_0089,Go-live Support,Amazon India,9,7700.00,offline,False,General
INT_00214,INST_0372,Financial Consulting,Delhivery,6,13668.00,offline,True,Indian Army
INT_00215,INST_0384,Nomad,Cure.fit,8,0.00,offline,False,Indian Army
INT_00216,INST_0336,Geology,ISRO,7,11547.00,offline,False,General
INT_00217,INST_0458,AML Compliance,Tata Consultancy Services,6,0.00,offline,False,General
INT_00218,INST_0342,MPLS,DRDO,6,12988.00,offline,False,General
INT_00219,INST_0197,Chaos Engineering,DMart,7,13794.00,hybrid,False,Indian Army
INT_00220,INST_0106,Protobuf,PayPal India,9,7708.00,online,False,General
INT_00221,INST_0294,Search and Rescue,FedEx India,8,3800.00,hybrid,False,General
INT_00222,INST_0465,Distributed Locking,Zoho Corporation,6,4312.00,offline,False,General
INT_00223,INST_0014,Consumer Protection,Vodafone Idea,9,0.00,online,False,General
INT_00224,INST_0050,Search Relevance,ACC Cement,7,8638.00,offline,False,General
INT_00225,INST_0216,Speech Recognition,Trent (Westside),6,0.00,offline,False,General
INT_00226,INST_0240,Radiology AI,P&G India,7,0.00,hybrid,False,General
INT_00227,INST_0153,Master Data,HP India,6,0.00,online,False,General
INT_00228,INST_0060,Vulnerability Management,Uber India,9,3138.00,hybrid,False,General
INT_00229,INST_0266,HACCP,Fabindia,6,0.00,offline,False,General
INT_00230,INST_0190,Low-code Development,Schneider Electric,9,10096.00,offline,False,General
INT_00231,INST_0350,Smart Home,Dabur,7,0.00,offline,False,General
INT_00232,INST_0124,Identity Verification,Zoho Corporation,9,0.00,hybrid,False,General
INT_00233,INST_0152,Space Debris,Tanishq,9,0.00,hybrid,False,General
INT_00234,INST_0180,Vendor Risk,World Bank India,7,13843.00,online,False,TULIP
INT_00235,INST_0384,Clinical Research,Amazon India,6,14756.00,offline,False,Indian Army
INT_00236,INST_0424,Smart Home,Tanishq,7,10221.00,offline,False,General
INT_00237,INST_0105,SD-WAN,Emami,9,10671.00,offline,False,General
INT_00238,INST_0244,Sharding,Cure.fit,9,0.00,offline,False,General
INT_00239,INST_0233,Flexible Electronics,HCL Technologies,9,12626.00,offline,False,General
INT_00240,INST_0429,SLO,Hindustan Unilever,7,4129.00,hybrid,False,General
INT_00241,INST_0261,Mental Health Apps,Voltas,9,7661.00,offline,True,General
INT_00242,INST_0401,Talent Management,ABB India,9,0.00,offline,True,General
INT_00243,INST_0345,Swarm Robotics,Stripe India,6,9402.00,hybrid,False,General
INT_00244,INST_0081,ZooKeeper,DRDO,9,13905.00,offline,False,General
INT_00245,INST_0406,CTR Modelling,Suzlon,9,12149.00,offline,False,General
INT_00246,INST_0179,Homomorphic Encryption,Royal Enfield,8,0.00,online,False,General
INT_00247,INST_0382,Parquet,Urban Company,7,0.00,hybrid,False,General
INT_00248,INST_0137,Electric Vehicles,Bosch India,8,0.00,offline,False,CDAC
INT_00249,INST_0284,Customer Identity,AICTE Internship Cell,7,13690.00,offline,True,General
INT_00250,INST_0056,Library Science,Amul,8,10965.00,online,False,General
INT_00251,INST_0039,Radiology AI,Indian Oil,6,10667.00,offline,False,General
INT_00252,INST_0326,Sports Analytics,GAIL India,7,13854.00,offline,False,CDAC
INT_00253,INST_0440,Go-live Support,Amazon India,7,3114.00,offline,True,General
INT_00254,INST_0009,Welding Technology,Axis Bank,8,9859.00,offline,False,General
INT_00255,INST_0228,Brand Management,Hindustan Aeronautics,6,13509.00,offline,False,General
INT_00256,INST_0145,Contrastive Learning,Nestle India,6,8665.00,offline,False,General
INT_00257,INST_0277,Data Warehousing,Marico,7,0.00,offline,True,Indian Army
INT_00258,INST_0341,Energy Management Systems,Paytm,7,12350.00,online,False,General
INT_00259,INST_0446,WAF,AICTE Internship Cell,9,13210.00,offline,True,General
INT_00260,INST_0415,Fuel Cells,Royal Enfield,6,8891.00,online,True,General
INT_00261,INST_0054,Packer,Salesforce India,8,5231.00,offline,False,General
INT_00262,INST_0291,Organic Electronics,Zoho Corporation,6,14523.00,hybrid,False,General
INT_00263,INST_0455,VLSI Design,Railway Board,6,9482.00,offline,False,General
INT_00264,INST_0262,Green Buildings,H&M India,8,8580.00,offline,True,General
INT_00265,INST_0251,MMM,Power Grid Corporation,8,0.00,online,False,General
INT_00266,INST_0341,Crypto Research,Tanishq,7,6159.00,offline,False,General
INT_00267,INST_0085,Data Engineering,Schneider Electric,8,0.00,hybrid,True,General
INT_00268,INST_0062,Healthcare Management,upGrad,8,14552.00,online,False,CDAC
INT_00269,INST_0464,Telemedicine,Delhivery,6,4155.00,online,False,General
INT_00270,INST_0465,Threat Intelligence,Ultratech Cement,8,14688.00,offline,False,General
INT_00271,INST_0264,Process Excellence,GAIL India,6,11307.00,offline,False,General
INT_00272,INST_0049,Archaeology,NTPC,9,3120.00,hybrid,False,CDAC
INT_00273,INST_0402,Edge Computing,Larsen & Toubro,6,6244.00,online,True,Indian Army
INT_00274,INST_0352,Ayurveda Research,Havells,9,7769.00,offline,False,General
INT_00275,INST_0184,Microbiology,Mother Dairy,9,0.00,hybrid,False,General
INT_00276,INST_0389,Telemedicine,ACC Cement,7,3652.00,offline,False,General
INT_00277,INST_0045,Performance Engineering,Ashok Leyland,8,0.00,offline,False,General
INT_00278,INST_0097,NGO Operations,Meesho,7,6471.00,offline,False,CDAC
INT_00279,INST_0195,Microfluidics,BigBasket,9,11666.00,offline,False,General
INT_00280,INST_0427,Animation,Zara India,7,0.00,offline,False,General
INT_00281,INST_0106,Energy Management Systems,DMart,6,9733.00,online,False,TULIP
INT_00282,INST_0228,Health Education,Unacademy,7,0.00,offline,False,TULIP
INT_00283,INST_0159,Infrastructure as Code,Infosys,7,12815.00,offline,False,TULIP
INT_00284,INST_0089,Knowledge Graphs,PayPal India,8,8778.00,offline,False,General
INT_00285,INST_0424,Virtual Reality,Havells,9,0.00,offline,False,General
INT_00286,INST_0008,Function-as-a-Service,Razorpay,7,10440.00,hybrid,False,General
INT_00287,INST_0406,Subnetting,Dunzo,7,0.00,hybrid,False,General
INT_00288,INST_0385,Secure Boot,Vodafone Idea,8,7121.00,online,False,CDAC
INT_00289,INST_0199,Financial Analysis,ServiceNow India,7,5222.00,offline,False,General
INT_00290,INST_0090,Columnar Storage,Airbnb India,9,8058.00,hybrid,False,CDAC
INT_00291,INST_0373,Idempotency,Tata Consultancy Services,7,0.00,offline,False,General
INT_00292,INST_0458,Petroleum Engineering,Razorpay,7,11320.00,hybrid,False,General
INT_00293,INST_0183,Telemedicine,BHEL,9,3391.00,offline,False,General
INT_00294,INST_0327,Learning and Development,upGrad,9,13961.00,offline,False,General
INT_00295,INST_0153,Satellite Propulsion,JSW Steel,7,7865.00,online,True,General
INT_00296,INST_0081,BGP,Netflix India,6,14352.00,online,False,General
INT_00297,INST_0057,Predictive Maintenance,ICICI Bank,6,0.00,hybrid,False,General
INT_00298,INST_0194,Agriculture Technology,Fabindia,7,4090.00,offline,False,General
INT_00299,INST_0059,Learning to Rank,Bharat Electronics,6,11962.00,offline,False,General
INT_00300,INST_0200,Network Forensics,Kia India,9,0.00,offline,True,General
INT_00301,INST_0394,Forestry,Indian Oil,8,11769.00,online,False,Indian Army
INT_00302,INST_0123,Economics Research,ACC Cement,8,11066.00,offline,False,General
INT_00303,INST_0220,Shopper Insights,Meta India,6,8649.00,offline,False,General
INT_00304,INST_0246,Cutover Planning,Reliance Jio,9,0.00,hybrid,True,General
INT_00305,INST_0180,ISO 9001,Blinkit,8,0.00,online,False,General
INT_00306,INST_0167,Reliability Engineering,Vedantu,7,0.00,online,False,General
INT_00307,INST_0169,Pharmaceutical Research,Hero MotoCorp,6,4338.00,hybrid,False,Indian Army
INT_00308,INST_0437,Terraform,Adobe India,6,3416.00,online,False,General
INT_00309,INST_0115,Graphic Design,Mahindra & Mahindra,6,5862.00,offline,False,General
INT_00310,INST_0230,Event-driven Architecture,Hindustan Unilever,8,0.00,hybrid,False,General
INT_00311,INST_0115,Adversarial ML,Paytm,8,0.00,offline,False,TULIP
INT_00312,INST_0223,API Gateway,AICTE Internship Cell,7,3392.00,offline,False,General
INT_00313,INST_0080,Grant Writing,Google India,7,14676.00,offline,False,General
INT_00314,INST_0108,3D Modelling,HP India,9,0.00,hybrid,False,General
INT_00315,INST_0033,SD-WAN,Practo,8,8969.00,hybrid,False,CDAC
INT_00316,INST_0272,Ride Hailing,Railway Board,7,10555.00,online,False,General
INT_00317,INST_0121,Threat Intelligence,Siemens Gamesa,7,11530.00,offline,False,General
INT_00318,INST_0017,Financial Analysis,Godrej Industries,9,0.00,offline,False,General
INT_00319,INST_0464,Foundation Models,Airbnb India,8,5350.00,online,False,General
INT_00320,INST_0417,Propensity Modelling,TVS Motor,9,9322.00,online,False,CDAC
INT_00321,INST_0260,Propulsion,MakeMyTrip,8,0.00,hybrid,False,General
INT_00322,INST_0196,Harbour Engineering,Dabur,9,7514.00,offline,False,General
INT_00323,INST_0309,SOAR,Schneider Electric,8,4969.00,offline,False,General
INT_00324,INST_0069,Open Source Governance,Google India,6,0.00,online,False,General
INT_00325,INST_0049,Attack Surface Management,Ather Energy,6,0.00,offline,False,General
INT_00326,INST_0171,Entrepreneurship Training,Google India,9,0.00,offline,False,CDAC
INT_00327,INST_0066,Behavioural Biometrics,Blinkit,8,14192.00,offline,True,General
INT_00328,INST_0373,A/B Testing,Twitter/X India,6,13777.00,hybrid,False,General
INT_00329,INST_0144,Dairy Technology,Bajaj Auto,8,11804.00,online,False,CDAC
INT_00330,INST_0338,Data Profiling,Dabur,8,3390.00,offline,False,General
INT_00331,INST_0011,Smart Grid,Capgemini,9,0.00,offline,True,General
INT_00332,INST_0377,Game Theory,L&T Energy,8,0.00,hybrid,False,General
INT_00333,INST_0307,Food Processing,Bharti Airtel,8,3113.00,offline,False,General
INT_00334,INST_0102,Archaeology,Amazon India,6,0.00,offline,False,General
INT_00335,INST_0116,Load Balancing,Adobe India,7,14270.00,online,True,General
INT_00336,INST_0109,Grant Management,ACC Cement,6,10755.00,hybrid,False,General
INT_00337,INST_0340,Social Impact Consulting,Crompton,7,8791.00,offline,False,General
INT_00338,INST_0203,Compliance Reporting,Big Bazaar (Future),9,0.00,online,False,General
INT_00339,INST_0440,Hydrology,Ashok Leyland,6,8836.00,hybrid,False,CDAC
INT_00340,INST_0367,Augmented Reality,Hindustan Aeronautics,6,0.00,offline,False,General
INT_00341,INST_0343,Vendor Risk,NTPC,6,7372.00,online,False,General
INT_00342,INST_0154,Shopper Insights,Adani Green Energy,9,14860.00,hybrid,True,General
INT_00343,INST_0281,Change Data Capture,UNDP India,7,10907.00,offline,False,General
